size,number,sumbits binary,sumbits huff1,cr huff1,sumbits huff2,cr huff2,sumbits huff3,cr huff3,sumbits bz2+bin,sumbits bz2+huff1,cr bz2+huff1,sumbits bz2+huff2,cr bz2+huff2,sumbits bz2+huff3,cr bz2+huff3
5,03,4034700,3864758,0.9578798919374427,1810256,0.4486717723746499,2619899,0.6493417106600243,714096,654584,0.9166610651789115,620216,0.8685330823866819,620752,0.8692836817458717
5,04,4044882,3874237,0.9578121191174427,1816496,0.4490850412941589,2626127,0.6492468754341907,719424,659232,0.9163330664531625,623584,0.8667823147406815,628224,0.8732319188684281
5,05,4022070,3853154,0.9580027199924417,1808452,0.44963215458706585,2616835,0.6506189598888135,716440,660976,0.9225838869968176,625960,0.8737088939757691,625808,0.8734967338507063
5,06,4032954,3862299,0.9576848632540812,1808354,0.44839440271324693,2617039,0.6489136746910578,712640,654608,0.9185675797036372,613392,0.8607319263583296,616840,0.8655702739110912
5,07,4019421,3849648,0.9577618268899923,1801091,0.44809712642691574,2606555,0.6484901681112777,709592,652096,0.918973156405371,619584,0.8731552779625474,620024,0.8737753525969854
5,08,4021413,3853474,0.9582388081005359,1802811,0.4483028726470024,2610247,0.6490870248840395,716144,656776,0.9171004714135704,628480,0.8775888648093121,628504,0.8776223776223776
5,09,4052538,3882204,0.9579685619234168,1812582,0.44727082139636937,2622017,0.6470061477523468,716912,655320,0.9140870846073158,621144,0.8664159617916843,624440,0.87101345771866
5,10,4050432,3881711,0.9583449370338769,1813181,0.44765126287763873,2623070,0.6476025273353558,715968,654560,0.9142308036113346,623816,0.8712903369983016,625104,0.8730893000804505
5,11,4032255,3861432,0.9576358638032565,1807201,0.44818618862150333,2614608,0.6484232768016903,714600,656800,0.9191155891407781,624088,0.873338930870417,624040,0.8732717604254128
5,12,4040343,3870414,0.9579419371078148,1812533,0.4486086948558575,2623586,0.6493473450150148,713648,657272,0.9210030715422729,618912,0.8672510817658005,620376,0.8693025132838599
5,13,4036398,3866922,0.9580130601590824,1808848,0.4481342028214264,2616935,0.6483342326500013,719000,660232,0.9182642559109875,628512,0.8741474269819194,628848,0.874614742698192
5,14,4022058,3850857,0.9574344775734214,1810143,0.4500539276161607,2619828,0.6513650474458598,714384,657632,0.9205581312011467,621888,0.8705234159779615,621712,0.8702770498779367
5,15,4011636,3843143,0.9579989311094027,1798675,0.44836445779228223,2603226,0.6489187952246914,711408,654024,0.9193374266243843,622920,0.8756156804534106,622592,0.8751546229449205
5,16,4028058,3858858,0.9579946465517627,1809481,0.44921920190821485,2618518,0.6500695868828106,713328,656744,0.9206760424377005,617992,0.8663504026198326,620112,0.8693223874571024
5,17,4022088,3853440,0.9580695400001193,1802815,0.44822863149687425,2609907,0.6488935597629888,714440,656576,0.9190078942948323,620752,0.8688651251329713,620848,0.8689994961088405
5,18,4015671,3846423,0.9578531209354552,1804169,0.4492820751500808,2610983,0.6501984350809615,712720,653792,0.9173195644853519,618528,0.8678415085868223,620120,0.8700752048490291
5,19,4018257,3848891,0.9578508791249539,1805120,0.44922960378094284,2613031,0.6502896653947221,718448,661528,0.9207736676836737,626208,0.8716121417277242,625024,0.8699641449346369
5,20,4050906,3880624,0.9579644652332096,1814999,0.44804767131105977,2626306,0.6483255844495034,726232,666048,0.9171284107557915,633032,0.8716663545533658,633232,0.8719417486423071
6,01,16590870,15892548,0.9579092597314065,7454455,0.44931067508816597,10784679,0.6500369781693184,2858928,2653992,0.9283171874212992,2434944,0.8516982589278219,2447184,0.8559795839559443
6,02,16566336,15868694,0.9578879723313592,7445004,0.44940558974537276,10772871,0.6502868829896967,2877552,2661872,0.925047401402303,2449240,0.8511540364865692,2455296,0.8532586031460074
6,03,16630404,15931737,0.957988573218065,7460158,0.44858549437524187,10795815,0.6491613192319321,2879688,2664376,0.9252307888910187,2460512,0.8544370084536936,2460424,0.8544064495875943
6,04,16550631,15855487,0.9579989427593425,7427551,0.448777511866466,10749548,0.6494947534024533,2870872,2655200,0.9248757868689373,2431968,0.8471182274932494,2436264,0.8486146369465445
6,05,16612461,15916258,0.9580915193721147,7446322,0.44823713957853684,10775885,0.6486627718794945,2878584,2659288,0.923818099454454,2433080,0.8452350183284559,2446088,0.8497539067819456
6,06,16595961,15898922,0.9579994795119126,7442735,0.4484666479994741,10770897,0.6490071289032313,2883848,2667096,0.9248393119193522,2442656,0.8470127413095281,2457136,0.8520338103811297
6,07,16570923,15868958,0.957638750720162,7441135,0.44904770844689823,10769962,0.6499313285083758,2874616,2661928,0.9260116829517403,2432648,0.8462514645434381,2433120,0.8464156603873352
6,08,16616952,15918013,0.9579381946821535,7455613,0.4486751240540383,10789185,0.6492878477352525,2886800,2675232,0.9267119301648885,2456648,0.8509934875987253,2470104,0.8556547041707081
6,09,16614597,15912153,0.9577212736487078,7457076,0.44882677563590617,10785711,0.6491707863874159,2889296,2678136,0.9269164530044689,2452344,0.8487686965959874,2466456,0.8536529313715175
6,10,16616238,15914618,0.9577750390912793,7450490,0.44838609076254204,10779838,0.6487532256097921,2884936,2667208,0.9245293483113664,2462104,0.8534345302634097,2464432,0.8542414805735725
6,11,16567173,15870249,0.9579334386138179,7427072,0.4483005036526147,10750563,0.6489075112573521,2868112,2642360,0.9212889873198815,2428512,0.8467284401724898,2445776,0.8527477309114846
6,12,16613526,15919853,0.9582464914431771,7454965,0.44872864435881943,10786411,0.6492547698784713,2883104,2668280,0.9254886400213104,2463536,0.8544735118816387,2462632,0.8541599609309966
6,13,16608891,15911050,0.957983889472211,7440888,0.4480063118001075,10769319,0.6484068683453941,2879672,2666184,0.9258637789303782,2443208,0.8484327381729586,2449696,0.8506857725463177
6,14,16601325,15901217,0.9578281854008641,7445949,0.4485153444077506,10776857,0.6491564378144515,2890360,2666944,0.922703054290815,2465480,0.8530010102547779,2465168,0.8528930652237091
6,15,16591854,15894469,0.9579682294697145,7446080,0.44877926240189914,10770890,0.6491673564629968,2894080,2683520,0.9272445820433437,2470704,0.8537096417514374,2476736,0.8557938965059708
6,16,16579617,15882649,0.957962358237829,7435848,0.4484933518066189,10760804,0.6490381532938909,2881640,2663504,0.9243014394580864,2443896,0.8480920586888022,2460736,0.8539359531377966
6,17,16573614,15877769,0.9580148904155726,7432622,0.44846115035622286,10755186,0.6489342638244139,2884672,2669632,0.9254542630843299,2458616,0.8523034854569255,2467512,0.8553873715971868
6,18,16585071,15885411,0.9578138676644797,7447967,0.4490765821864736,10778727,0.649905387803284,2885904,2671632,0.925752207973654,2452768,0.8499132334270302,2456824,0.8513186855834428
6,19,16564254,15866054,0.9578489921731459,7437053,0.44898206704630345,10763628,0.6498106102454116,2868872,2656808,0.9260810520650625,2446984,0.8529428988117979,2450496,0.8541670733305634
6,20,16569789,15870715,0.9578103257681797,7433004,0.4485877279427034,10758844,0.6493048282027007,2876832,2661656,0.9252038353299741,2454440,0.8531746031746031,2458208,0.8544843772594298
