['h'],['t'],['tdg'],"['h', 't']","['h', 'tdg']","['t', 'h']","['t', 't']","['tdg', 'h']","['tdg', 'tdg']","['h', 't', 'h']","['h', 't', 't']","['h', 'tdg', 'h']","['h', 'tdg', 'tdg']","['t', 'h', 't']","['t', 'h', 'tdg']","['t', 't', 'h']","['t', 't', 't']","['tdg', 'h', 't']","['tdg', 'h', 'tdg']","['tdg', 'tdg', 'h']","['tdg', 'tdg', 'tdg']"
0,124.0,123.0,0,0,0,0,0,0,112.0,0,112.0,0,0,0,0,0,0,0,0,0
0,119.0,119.0,0,0,0,0,0,0,106.0,0,106.0,0,0,0,1,0,0,0,0,0
0,122.0,122.0,0,0,0,0,0,0,131.0,0,131.0,0,0,0,0,0,1,0,0,0
0,94.0,94.0,0,0,0,0,0,0,112.0,1,112.0,0,0,0,0,0,0,0,0,0
0,114.0,114.0,0,0,0,0,0,0,120.0,0,120.0,0,0,0,0,1,0,0,0,0
0,100.0,100.0,0,0,0,0,0,0,97.0,1.0,97.0,0,0,0,0,0,0,0,1.0,1
0,123.0,123.0,0,0,0,0,0,1,111.0,0,111.0,0,0,0,0,0,0,0,0,0
0,147.0,147.0,0,0,0,1,0,0,102.0,0,102.0,0,0,0,0,0,0,0,0,0
0,162.0,162.0,0,0,0,1.0,0,1.0,63.0,1,63.0,0,0,0,0,0,0,0,0,0
0,126.0,126.0,0,0,0,1.0,0,1.0,96.0,0,96.0,0,0,1,0,0,0,0,0,0
0,74.0,74.0,0,0,0,0,0,0,106.0,0,106.0,0,0,0,0,0,0,0,1,0
0,109.0,109.0,0,0,0,1.0,0,1.0,137.0,3.0,137.0,1.0,0,0,1.0,0,0,0,2.0,0
0,119.0,118.0,0,0,0,0,0,0,113.0,0,113.0,0,0,0,0,0,0,0,0,0
0,127.0,127.0,0,0,0,0,0,0,102.0,0,102.0,0,0,0,0,1,0,0,0,0
0,148.0,148.0,0,0,0,0,0,0,110.0,0,110.0,0,0,0,0,0,0,0,1,0
0,132.0,132.0,0,0,0,0,0,0,103.0,0,103.0,0,0,0,0,1,0,0,0,0
0,122.0,122.0,0,0,0,0,0,0,111.0,0,111.0,0,0,0,0,0,1,0,0,0
0,103.0,103.0,0,0,0,0,0,0,110.0,0,110.0,0,0,0,0,0,0,0,1,0
0,130.0,130.0,0,0,0,0,0,0,113.0,0,113.0,0,0,0,0,1,0,0,0,0
0,128.0,128.0,0,0,0,0,0,0,115.0,0,115.0,0,1,0,0,0,0,0,0,0
0,143.0,143.0,0,0,0,0,0,0,113.0,0,113.0,0,0,0,0,1,0,0,0,0
0,126.0,126.0,0,0,0,0,0,0,95.0,0,95.0,1,0,0,0,0,0,0,0,0
0,129.0,129.0,0,0,0,0,0,0,106.0,0,106.0,0,0,0,0,0,0,0,0,1
